entity_id,display_name,cities,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
838a2ea08e228cb9b331,Chimino Chimino,Батуми,author_or_channel,ChiminoChimino,manual_only,70,worth_checking,"intellectum, riderra",youtube,https://www.youtube.com/@ChiminoChimino,ChiminoChimino,1690,nano,original_profile_opened,https://www.youtube.com/@ChiminoChimino,https://www.youtube.com/results?search_query=Batumi+family+vlog&hl=ru,https://www.youtube.com/watch?v=nIlCFIA-9oY
f0667baa7a60ca35f095,Closer Lives: Jenn and Leon,Батуми,author_or_channel,JennandLeon,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@JennandLeon,JennandLeon,15100,micro,original_profile_opened,https://www.youtube.com/@JennandLeon,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=aEv8UWfbhB0
84c4c0b7112172310c84,DaliKa,Батуми,author_or_channel,DaliKa,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@DaliKa,DaliKa,46500,micro,original_profile_opened,https://www.youtube.com/@DaliKa,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=lgjQgRz8_yk
3892634fe6c06df3996b,Dammit Curt,Батуми,author_or_channel,DammitCurt,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@DammitCurt,DammitCurt,236,nano,original_profile_opened,https://www.youtube.com/@DammitCurt,https://www.youtube.com/results?search_query=Batumi+vlog&hl=ru,https://www.youtube.com/watch?v=bRi2I3wk6dU
075e9ff0f6b93972ee54,Danon,Батуми,author_or_channel,danondanon,manual_only,70,worth_checking,intellectum,youtube,https://www.youtube.com/@danondanon,danondanon,259,nano,original_profile_opened,https://www.youtube.com/@danondanon,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%B4%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B5+%D0%BC%D0%B5%D1%81%D1%82%D0%B0&hl=ru,https://www.youtube.com/watch?v=C4nvIlqheB8
7d772c3521645e6d69a8,Daria Makes,Батуми,author,dariamakes8,manual_only,76,worth_checking,,instagram,https://www.instagram.com/dariamakes8,dariamakes8,358,nano,original_profile_opened,https://www.instagram.com/dariamakes8,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
dbd1293c6b4301289afb,Darya Nikolaeva,Батуми,author_or_channel,daryanikolaeva7799,manual_only,70,worth_checking,intellectum,youtube,https://www.youtube.com/@daryanikolaeva7799,daryanikolaeva7799,50,nano,original_profile_opened,https://www.youtube.com/@daryanikolaeva7799,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D1%81+%D0%B4%D0%B5%D1%82%D1%8C%D0%BC%D0%B8&hl=ru,https://www.youtube.com/watch?v=VDfQGF6ih5c
e081ccfa7372a2cb62b9,DESI FOOD RECIPE,Батуми,author_or_channel,desifoodrecipe7663,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@desifoodrecipe7663,desifoodrecipe7663,247,nano,original_profile_opened,https://www.youtube.com/@desifoodrecipe7663,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=b1xbMgfMxiE
c4654242d12bf1f15335,Destination Delight,Батуми,author_or_channel,Destination_Delight,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@Destination_Delight,Destination_Delight,896,nano,original_profile_opened,https://www.youtube.com/@Destination_Delight,https://www.youtube.com/results?search_query=Batumi+local+guide&hl=ru,https://www.youtube.com/watch?v=vWFXyqz3KJo
1b3e7700846a00ea6318,Destination Wonders,Батуми,author_or_channel,DestinationWonders,manual_only,65,worth_checking,riderra,youtube,https://www.youtube.com/@DestinationWonders,DestinationWonders,28600,micro,original_profile_opened,https://www.youtube.com/@DestinationWonders,https://www.youtube.com/results?search_query=Batumi+local+guide&hl=ru,https://www.youtube.com/watch?v=ySV37SDyr3Y
