entity_id,display_name,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,lead_seeded,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
3f0fbc5cfc1a83d4e8d6,Ambience of St Petersburg +,author_or_channel,greatst.petersburg812,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@greatst.petersburg812,greatst.petersburg812,4520,nano,original_profile_opened,https://www.youtube.com/@greatst.petersburg812,https://www.youtube.com/results?search_query=%D0%9A%D1%80%D0%BE%D0%BD%D1%88%D1%82%D0%B0%D0%B4%D1%82+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=xNETdhqpZzc
3ff57f6a0612a5867dc8,Anastacia Way Путешествия и жизнь,author_or_channel,AnastaciaWay,manual_only,65,worth_checking,riderra,False,youtube,https://www.youtube.com/@AnastaciaWay,AnastaciaWay,12700,micro,original_profile_opened,https://www.youtube.com/@AnastaciaWay,https://www.youtube.com/results?search_query=%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD+%D0%BA%D1%83%D0%B4%D0%B0+%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82%D1%8C&hl=ru,https://www.youtube.com/watch?v=31xH0yDH0ls
b9c11594d30e457d20a5,Anastasia Kiseleva,author_or_channel,kiselevanst,manual_only,70,worth_checking,riderra,False,youtube,https://www.youtube.com/@kiselevanst,kiselevanst,6110,nano,original_profile_opened,https://www.youtube.com/@kiselevanst,https://www.youtube.com/results?search_query=%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D0%93%D0%BE%D0%BB%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=zOfD_ChoDCQ
dc9e6b8fcae2729a8755,Anastasia Yashkina,author_or_channel,AnastasiaYashkina,manual_only,70,worth_checking,riderra,False,youtube,https://www.youtube.com/@AnastasiaYashkina,AnastasiaYashkina,401,nano,original_profile_opened,https://www.youtube.com/@AnastasiaYashkina,https://www.youtube.com/results?search_query=%D0%9F%D0%B8%D1%82%D0%B5%D1%80+%D0%BF%D1%80%D0%BE%D0%B3%D1%83%D0%BB%D0%BA%D0%B8+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=mCTSawDSYFg
7c20b45bb72afc52daee,AnastasiaLa100,author_or_channel,AnastasiaLa100,manual_only,65,worth_checking,veselaya_rascheska,False,youtube,https://www.youtube.com/@AnastasiaLa100,AnastasiaLa100,32000,micro,original_profile_opened,https://www.youtube.com/@AnastasiaLa100,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D1%81+%D0%B4%D0%B5%D1%82%D1%8C%D0%BC%D0%B8&hl=ru,https://www.youtube.com/watch?v=ctrlsc2Ke1w
420575f3b8d58f08366f,Anastasiya Kotova,author_or_channel,anastasiya_kotovaa,manual_only,70,worth_checking,riderra,False,youtube,https://www.youtube.com/@anastasiya_kotovaa,anastasiya_kotovaa,126,nano,original_profile_opened,https://www.youtube.com/@anastasiya_kotovaa,https://www.youtube.com/results?search_query=%D0%9E%D0%B7%D0%B5%D1%80%D0%BA%D0%B8+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=6nvmtf6MQFU
dfa81e93923aa3be6d4b,ANDREJB,author_or_channel,AndrejBiryukov,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@AndrejBiryukov,AndrejBiryukov,1650,nano,original_profile_opened,https://www.youtube.com/@AndrejBiryukov,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B3%D0%BE%D1%84+%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=w5OtGly8AZ8
34a429b06686d97c7075,Andrew Dunaev,author_or_channel,dunaevcom,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@dunaevcom,dunaevcom,689,nano,original_profile_opened,https://www.youtube.com/@dunaevcom,https://www.youtube.com/results?search_query=%D0%9A%D0%B8%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=UfDfNUr8N-Q
0d0de11496e92cb31e66,Andrey Miteshin,author_or_channel,miteshin,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@miteshin,miteshin,206,nano,original_profile_opened,https://www.youtube.com/@miteshin,https://www.youtube.com/results?search_query=%D0%9A%D0%BE%D0%BB%D0%BF%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=3apPVKJaCtU
6746f2b9bf72f7fdac20,Andrey Ru (Андрей. Ru),author_or_channel,AndreyRu,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@AndreyRu,AndreyRu,927,nano,original_profile_opened,https://www.youtube.com/@AndreyRu,https://www.youtube.com/results?search_query=%D0%9F%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82+%D0%9F%D1%80%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80+%D0%BC%D0%B5%D1%81%D1%82&hl=ru,https://www.youtube.com/watch?v=Rp7zOSjWcc8
cb9cdb40d86f5a7ae5ac,Anetta blog,author_or_channel,anettablog,manual_only,65,worth_checking,riderra,False,youtube,https://www.youtube.com/@anettablog,anettablog,28800,micro,original_profile_opened,https://www.youtube.com/@anettablog,https://www.youtube.com/results?search_query=%D0%9A%D1%80%D0%BE%D0%BD%D1%88%D1%82%D0%B0%D0%B4%D1%82+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=Am5nfJ00QHc
511078d388c29c84f458,Anika Kazantseva,author_or_channel,Anika_diary,manual_only,70,worth_checking,riderra,False,youtube,https://www.youtube.com/@Anika_diary,Anika_diary,5450,nano,original_profile_opened,https://www.youtube.com/@Anika_diary,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B3%D0%BE%D1%84+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=l3NJ_eKcWWI
0db7c5b416354bd2793e,Anna Anormallle,author_or_channel,anormallle,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@anormallle,anormallle,270,nano,original_profile_opened,https://www.youtube.com/@anormallle,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B3%D0%BE%D1%84+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=JcI41kUe7gk
c1c0572471752f9f4e07,ANNA LOCHI,author_or_channel,ANNALOCHI,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@ANNALOCHI,ANNALOCHI,3550,nano,original_profile_opened,https://www.youtube.com/@ANNALOCHI,https://www.youtube.com/results?search_query=%D0%A1%D0%B5%D1%81%D1%82%D1%80%D0%BE%D1%80%D0%B5%D1%86%D0%BA+%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=jPZ0OwLI-BE
